단어,뜻,문법,문장예시,반의어,복합어 숙어,유의어,테마 단어,파생어
notice,"['1. 알아차리다', '2. 주목하다', '3. 공지', '4. 게시', '5. 경고']","['동사', '기본 : notice', '과거 : noticed', '과거분사 : noticed', '현재분사 : noticing', '3인칭단수 : notices', '명사', '기본 : notice', '복수 : notices']","[""attract [deserve] (one's) notice"", '사람의 주목을 끌다[주목할 가치가 있다]', 'avoid notice', '남의 눈을 피하다', 'Her new hat caught my notice.', '그녀의 새 모자가 나의 주목을 받았다', 'That detail escaped our notice.', '그 자세한 내막을 우리는 알아차리지 못했다.', 'take notice of', '~을 알아차리다, 주의하다', ""I'll make her take notice of me."", '그녀가 나를 주목하게 할 거야.', 'take no notice of', '~에 주의를 기울이지 않다, 무시하다', 'She takes no notice of him.', '그녀가 그를 본체만체했다.', 'get a notice', '주의를 받다', 'issue a notice', '주의사항을 발부하다', 'post a notice', '주의사항을 게시하다', 'notice of receipt', '영수 통지', 'a formal notice', '공식 통고', ""at ten minutes(') notice"", '10분의 여유를 준 예고로', ""give notice of one's departure"", '출발 통지를 하다', 'give notice that the boat is to leave', '배의 출항을 통보하다', 'I had[received] notice of my promotion.', '승진 통보를 받았다', ""If you want to reserve a room, please give us a few days' notice."", '방을 예약하는 경우에는 2, 3일 전에 연락해 주십시오.', ""a deposit of seven days' notice"", '7일 전에 인출 예고를 요하는 예금', ""give two weeks' notice"", '2주일 후에 해약한다는 통고를 하다']",-1,"['short notice 촉박한 통보', 'on such short notice 그토록 촉박한 통지에 의해', 'give prior notice 사전에 통보하다', 'notice a change in ~에서 변화를 알아채다', 'take no notice of ~을 무시하다']","['know 알다, 알려져 , 인식하다', 'see 보다, 알다, 만나다, 발견하다, 이해하다', 'find 찾다, 발견하다, 알다, 알아보다', 'feel 느끼다, 기분, 감정', 'learn 배우다, 공부하다, 알다, 깨닫다, 습득하다']",-1,"['noticeable 눈에 띄는, 주목할 만한, 두드러진, 미세한', 'unnoticed 주목받지 못하는, 눈에 띄지 않는, 간과된, 눈치채지 못한, 알지 못한', 'noticeably 두드러지게, 현저하게, 주목할 만하게']"
issue,"['1. 문제', '2. 쟁점', '3. 이슈', '4. 사안', '5. 발행하다']","['동사', '기본 : issue', '과거 : issued', '과거분사 : issued', '현재분사 : issuing', '3인칭단수 : issues', '명사', '기본 : issue', '복수 : issues']","['current issues', '현재의 여러 문제', 'a side[a key, a sensitive] issue', '이차적인[중요한, 민감한] 문제', 'the real issue in the conflict', '분쟁의 진정한 문제점', 'avoid[dodge, duck, evade] an issue', '문제를 회피하다', 'confuse[cloud] an issue', '논점을 흐리다', 'debate an issue', '문제를 토의하다', 'raise[bring up] an issue', '논점을 꺼내다, 논쟁을 일으키다', 'settle an issue', '문제를 해결하다', ""What's the big issue ?"", '(구어) 뭐가 문제야?(문제되는 것이 없다).', 'raise an issue', '문제를 제기하다', 'address an issue', '문제에 대응하다', 'consider[examine] an issue', '문제를 검토하다', 'discuss an issue', '문제를 토론하다[해결하다]', 'a major issue', '큰 문제', 'an important issue', '중요한 문제', 'the main issue', '가장 큰 문제', 'a central issue', '중심 문제', 'a fundamental issue', '기본적인 문제', 'a thorny issue', '귀찮은 문제', 'an environmental[a political, a social] issue', '환경[정치, 사회] 문제']",-1,"['issue with ~을 지급하다', 'ethical issue 윤리 문제, 도덕 문제', 'key issue 주요 이슈, 주요 문제', 'political issue 정치 문제, 정치 이슈', 'issue an arrest warrant 체포 영장을 발부하다']","['thing 것, 일, 상황, 물건, 짓', 'problem 문제, 과제, 고민, 의문, 골칫거리', 'business 기업, 사업, 경영, 산업, 비즈니스', 'children 아이들, 어린이, 아동, 자녀', 'end 종료, 끝나다, 말, 결국, 결과']","['book cover 표지, 책 표지', 'classic 고전의, 클래식, 전형적인, 전통적인, 명작', 'comic book 만화책, 코믹 책', 'cookbook 요리책, 자세한 설명서, 비행 계획서', 'edition 판, 전발행 부수, 1회분']",-1
training,"['1. 훈련', '2. 교육', '3. 트레이닝']","['명사', '기본 : training', '복수 : trainings']","['academic[military] training', '학교[군사] 교육', 'on-the-job training', '실제 훈련, 실습', 'receive training in artificial respiration', '인공 호흡 훈련을 받다', ""He didn't turn up for training today."", '그는 오늘 훈련에 나오지 않았다.', 'do training', '훈련을 하다', 'receive[undergo] training', '훈련을 받다', 'give[provide] training', '훈련을 시키다', 'require training', '훈련이 필요하다', 'basic[initial] training', '기초[초기] 훈련', 'intensive[formal] training', '집중[정식] 훈련', 'vocational training', '작업 훈련', 'in-service training', '현직 연수', 'in training', '훈련 중에', 'training and qualification(s)', '훈련과 자격', 'a training table', '운동 선수 전용 식당.']",-1,"['job training 실무교육', 'weight training 웨이트 트레이닝', 'basic training 기초 훈련 기간, 기초 훈련', 'spring training 춘계 훈련, 봄철 훈련', 'physical training 체육(physical education)']","['study 연구, 조사, 공부, 검토하다, 관찰하다', 'education 교육, 훈련, 교양', 'exercise 운동, 훈련, 행사, 활동, 연습', 'practice 관습, 연습하다, 실천하다, 실제, 행위', 'learning 학습, 배움, 교육, 공부, 학문']",-1,"['train 훈련하다, 교육하다, 열차, 기차, 양성하다', 'trainer 트레이너, 조련사, 코치', 'trainee 훈련 받는 사람, 직업 훈련을 받는 사람, 신병', 'untrained 훈련받지 않은, 미숙한, 연습을 쌓지 않은', 'retraining 재교육']"
explain,"['1. 설명하다', '2. 알려주다', '3. 말하다', '4. 말이 되다', '5. 해명하다']","['동사', '기본 : explain', '과거 : explained', '과거분사 : explained', '현재분사 : explaining', '3인칭단수 : explains']","['explain the meaning of the term', '용어의 의미를 밝혀주다', 'explain how a computer works', '컴퓨터가 어떻게 작동하는가를 설명하다', 'Oh! that explains everything.', '아, 그것이 모든 일을 설명해 주는구나', 'His personality explains much of his work.', '그의 개성을 보면 그의 작품을 대충 이해하게 된다.', 'I explained the schedule to her.', '그녀에게 스케줄을 설명했다(※*I explained her the schedule.의 어순은 불가)', 'She explained (to me) that she was late on account of the bus strike.', '그녀는 버스의 파업 때문에 지각했다고 변명했다', 'Explain why you told a lie.', '왜 거짓말을 했는지 해명해 봐라.', 'explain something to someone', '누구에게 무엇을 설명하다', 'Let me explain to you about it.', '그것에 대해 설명해 드릴게요(to를 빼서 쓰지 않음).', 'fully explain', '충분히 설명하다', 'satisfactorily explain', '만족스럽게 설명하다', 'partly explain', '부분적으로 설명하다', 'briefly explain', '간략하게 설명하다', 'clearly explain', '명확히 설명하다', 'easily explain', '쉽게 설명하다', 'well explain', '잘 설명하다', 'explain exactly', '정확하게 설명하다', 'explain simply', '간단하게 설명하다', 'explain A to B', 'B에게 A를 설명하다', 'explain to a person about the matter', '그 일에 대해 남에게 설명하다.']",-1,"['explain to A에게 B를 설명하다', 'explain at length 충분히 설명하다', 'explain of inequality 부등식을 푼다', 'explain in minute detail 자세히 설명하다', 'explain in full detail 자세히 설명하다']","['say 말하다, 전하다, 발언하다, 이야기하다, 주장하다', 'tell 말하다, 이야기하다', 'read 읽다, 독서하다, 독해하다, 쓰여 있다, 낭독하다', 'solve 해결하다, 풀다, 해소하다, 맞추다, 처리하다', 'reveal 보여주다, 드러내다, 밝히다, 말하다, 알리다']",-1,"['explanation 설명, 해명, 해석', 'explanatory 설명을 위한, 주석적인, 설명적인', 'unexplained 설명되지 않은, 명확하지 않은, 설명이 없는', 'inexplicably 불가해하게, 설명할 수 없을 만큼, 불가사의하게도', 'inexplicable 설명할 수 없는, 불가해한, 해석할 수 없는']"
conduct,"['1. 실시하다', '2. 수행하다', '3. 시행하다', '4. 행동하다', '5. 지휘하다']","['동사', '기본 : conduct', '과거 : conducted', '과거분사 : conducted', '현재분사 : conducting', '3인칭단수 : conducts', '명사', '기본 : conduct', '복수 : conducts']","['good[right] conduct', '훌륭한[올바른] 행위', ""The child's conduct in school was terrible."", '그 아이가 학교에서 하는 행실은 형편없었다.', 'under the conduct of', '…의 지도 아래.', 'the conduct of a company', '회사의 경영.', 'She conducted herself admirably[with care].', '그녀는 훌륭하게[신중하게] 처신했다.', 'conduct a business', '업무를 수행하다', 'conduct a study of', '…의 연구를 하다.', 'conduct a person through the city', '남에게 그 도시를 안내해 주다.', 'The orchestra was conducted by Karajan.', '그 관현악단은 카라얀이 지휘했다.', ""Plastic and rubber won't conduct electricity, but copper will."", '플라스틱과 고무는 전기를 전도할 수 없지만 구리는 전도할 수 있다.']",-1,"['conduct research 연구하다', 'code of conduct 행동규범, 행동수칙', 'conduct business 사업을 운영하다', 'conduct a test 시험을 시행하다', 'conduct state affairs 국정을 수행하다']","['do 해나가다, 하다, 일, 되어가다, 들어주다', 'way 방법, 방식, 길, 방면, …점', 'show 보여주다, 쇼, 나타나다, 보이고 있다, 전시회', 'run 달리다, 운영하다, 출마, 열리다, 계속하다', 'lead 이끌다, 주도권, 앞서다, 선두, 납']",-1,"['conductor 지휘자, 전도체, 안내자', 'conductive 전도의, 전도력이 있는', 'conduction 전도, 끎']"
raise,"['1. 높이다', '2. 올리다', '3. 오르다', '4. 인상', '5. 제기하다']","['동사', '기본 : raise', '과거 : raised', '과거분사 : raised', '현재분사 : raising', '3인칭단수 : raises', '명사', '기본 : raise', '복수 : raises']","[""raise one's hat"", '(인사하려고) 모자를 들다', ""raise one's hand"", '손을 들다', ""raise one's hand to[against]"", '…에 손을 올리다[대다], 때리다', ""raise one's head"", '(자리에 있는 것을 나타내어) 얼굴을 들다', 'raise the flag up', '기를 높이 게양하다', 'He saw a policeman raise a rifle.', '그는 경찰관이 소총을 들어 겨누는 것을 보았다.', 'with the lid raised 90degrees', '뚜껑을 90도로 일으켜 세우고', ""raise oneself to one's feet"", '일어서다', 'raise a man from sleep', '자는 사람을 깨우다.', 'raise a castle', '축성하다', 'raise a monument', '기념비를 세우다.', 'raise cattle and sheep', '소와 양을 사육하다', 'He raised tomato plants from seed.', '그는 씨를 심어 토마토 묘목을 키웠다', ""That's just how I was raised."", '그런 식으로 자랐다.', 'raise a laugh', '웃음을 자아내다', 'raise doubts', '의문을 일으키다', 'You may raise any question you wish.', '질문하고 싶은 것은 무엇이든 물어봐요.', 'raise an issue at law', '소송을 일으키다.', 'raise the spirit of the departed', '죽은 사람의 영혼을 불러내다', 'raise a person from the dead', '죽은 사람을 소생시키다.']","['lower 하부의, 낮추다, 내리다, 줄다, 남쪽의']","['raise to ~로 높이다', 'raise questions 문제를 제기하다', 'get a raise 승급되다', 'raise capital 자금을 조달하다', 'pay raise 급여 인상']","['increase 증가하다, 늘리다, 인상되다, 확대하다, 상승하다', 'grow 성장하다, 자라다, 크다, 증가하다, 늘다', 'build 건축하다, 만들다, 짓다, 세우다, 기르다', 'parent 부모, 학부모, 모회사, 엄마 아빠, 어버이', 'create 만들다, 만들어 내다, 창조하다, 제작하다, 생산하다']",-1,-1
interested,"['1. 관심있는', '2. 흥미있는', '3. 생각있는', '4. 마음있는', '5. 싶은']","['동사', '기본 : interest', '과거 : interested', '과거분사 : interested', '현재분사 : interesting', '3인칭단수 : interests', '형용사', '기본 : interested', '비교급 : more interested', '최상급 : most interested']","['interested students', '관심이 있는 학생', 'an interested look', '흥미 있는 듯한 표정', 'I am not interested in detective stories.', '탐정 소설에는 흥미가 없다', 'I am not interested in learning how to drive.', '자동차 운전에는 흥미 없어', 'I am interested to hear[hearing] your opinion.', ""당신의 의견을 듣고 싶다(※「새로운 정보를 획득(learn, know, find out 등)하고 싶다」라는 소망의 표현에는 부정사·동명사 양쪽 다 사용할 수 있음. 구체적인 행위(study, work 등)에 관한 소망의 표현에는 동명사를 씀 ◇ I'm interested in studying in the U.S.「등산에 흥미가 있으세요?」 「특별히 관심이 있지는 않습니다.」)"", '""Are you interested in mountain climbing?"" ""Not particularly.""', '「등산에 흥미가 있으세요?」 「특별히 관심이 있지는 않습니다.」', 'interested in doing something', '어떤 일을 하고 싶다.', 'deeply interested', '깊은 관심이 있는', 'particularly interested', '특히 관심 있는', 'genuinely interested', '진심으로 관심 있는', 'not remotely interested', '조금도 관심 없는', 'no longer interested', '관심을 잃은', 'interested in A', 'A에 관심 있는', 'be interested to see', '꼭 보고 싶다', 'be interested to know', '꼭 알고 싶다', 'be interested to hear', '꼭 듣고 싶다', 'the interested parties', '(재판 등의) 당사자들.', 'interested motives', '불순한 동기.']","['disinterested 공평한, 관심이 없는, 사심 없는', 'uninterested 무관심한, 냉담한, 이해 관계가 없는']","['be interested in 관심있다, 흥미있다, 좋아하다', 'those interested in ~에 관심이 있는 사람들', 'get interested in ~에 관심을 갖다', 'be interested in working with ~와 함께 일하는 것에 관심 있다', 'be interested in the weather 날씨에 흥미, 관심이 있다']","['involved 관련된, 관여하는, 참가한, 연루된, …을 포함하는', 'concerned 우려하는, 관련된, 신경쓰는, 관심을 가진', 'questioning 의문, 질문, 의문을 나타내는', 'curious 궁금한, 알고 싶은, 이상한, 신기한, 호기심이 강한', 'fascinated 매료된']",-1,"['interest 관심, 이자, 이해관계', 'interesting 흥미로운, 재미있는, 놀라운', 'interestingly 흥미롭게도, 재미있게도, 놀랍게도, 공교롭게도', 'uninterested 무관심한, 냉담한, 이해 관계가 없는', 'disinterested 공평한, 관심이 없는, 사심 없는']"
eligible,"['1. 자격이 있는', '2. 권한이 있는', '3. 가능한']","['형용사', '기본 : eligible', '비교급 : more eligible', '최상급 : most eligible']","['eligible for membership', '회원이 될 자격이 있는.']","['ineligible 자격이 없는, 부적당한, 부적격자']","['eligible for ~에 뽑힐 자격이 있는', 'be eligible for ~할 자격이 있다, 적격이다', 'be eligible for the benefit 혜택을 받을 자격이 있다', 'eligible bachelor 최고의 신랑감', 'very eligible bachelor 결혼상대로서 아주 적격인 남자']","['qualified 자격이 있는, 적임의, 자질이 있는, 적합한', 'suitable 적합한, 적절한, 알맞은, 적당한', 'desirable 바람직한', 'competent 유능한, 능력이 있는, 만족스러운']",-1,"['eligibility 적격, 적임, 피선거 자격']"
appoint,"['1. 임명하다', '2. 지명하다', '3. 지정하다']","['동사', '기본 : appoint', '과거 : appointed', '과거분사 : appointed', '현재분사 : appointing', '3인칭단수 : appoints']","['appoint an official[a committee]', '공무원[위원]을 임명하다', 'I appointed him (to be) headmaster.[＝I appointed him to a headmastership.]', '그를 교장으로 임명했다(※to 뒤에 부정관사 a가 있는 것에 주의)', 'He appointed her as his successor.', '그는 그녀를 후계자로 임명했다', 'He was appointed (as) chief executive officer of the company.', '그는 그 회사의 최고 경영 책임자로 임명되었다(※그 직책을 차지하는 사람이 한 사람일 경우는 무관사).', 'appoint a time[a date, a place] for', '…의 시간[날짜, 장소]을 정하다', 'The day was appointed for the general election.', '그날이 총선거의 날로 결정되었다.', 'God appoints that it shall be done.', '신은 그것을 해야 한다는 것을 정해 놓고 있다.']",-1,"['appoint a Cabinet member 각료를 임명하다', 'appoint the day 당일, 약속한 날', 'appoint a committee member 위원을 임명하다']","['name 이름, 명칭, 지명하다, 성함, 거명', 'choose 선택하다, 고르다, 선출하다, 원하다', 'select 선택하다, 선발하다, 고르다, 선별하다, 엄선된', 'designate 지정하다, 지명하다, 선정하다', 'nominate 지명하다, 후보에 오르다, 추천하다, 임명하다']",-1,"['appointment 임명, 약속, 예약', 'appointed 임명된, 정해진, 지정된', 'appointer 임명자, 지명자', 'appointive 임명에 의한, 임명권이 있는', 'appointable 임명할 수 있는']"
term,"['1. 임기', '2. 용어', '3. 말하다', '4. 기간', '5. 계약조건']","['동사', '기본 : term', '과거 : termed', '과거분사 : termed', '현재분사 : terming', '3인칭단수 : terms', '명사', '기본 : term', '복수 : terms']","['medical[scientific] terms', '의학[과학]용어', 'businessterms', '상업용어', 'terms of law[golf]', '법률[골프] 용어.', 'use a term', '용어를 사용하다', 'define the term', '용어를 정의하다', 'coin a term', '용어를 만들어내다', 'a technical[legal] term', '전문[법률] 용어', 'explain a term', '용어를 설명하다', 'in extreme [flattering] terms', '극단적인[아첨하는]말투로', 'in the terms of the highest praise', '극구 찬양하며.', 'a term of[in] office', '임기', 'a long-term policy', '장기 정책', 'a short term of imprisonment', '단기간의 금고', 'in the spring[the summer] term', '봄[여름] 학기에', 'He served two terms in the House.', '그는 국회 의원으로 2기를 봉직했다.', 'a first[second] term', '1학기[2학기]', 'the autumn term', '가을 학기', 'in the long[medium, short] term', '장기[중기, 단기]적으로는', 'terms of trade', '교역조건(수출품 한 단위와 교환할 수 있는 수입품의 양)', 'under the terms of the contract', '그 계약의 조건으로는']",-1,"['long term 장기의, 장기간, 오래', 'short term 비교적 단기간의, 단기 만기의, 단기의', 'in the long term 장기적으로 보아', 'prison term 형기', 'near term 가까운 기일 내의, 가까운 날의, 근일의']","['time 시간, 때, 시기, 동안, 당시', 'call 부르다, 전화하다, 말하다, 요구하다, 이름', 'name 이름, 명칭, 지명하다, 성함, 거명', 'word 단어, 말, 언어, 이야기', 'period 기간, 시대, 시기, 단계, 생리']",-1,-1
check,"['1. 확인하다', '2. 점검하다', '3. 검사', '4. 견제', '5. 체크']","['동사', '기본 : check', '과거 : checked', '과거분사 : checked', '현재분사 : checking', '3인칭단수 : checks', '명사', '기본 : check', '복수 : checks']","[""check one's steps"", '급히 걸음을 멈추다', 'check the current of a river', '강물을 막다', ""check one's temper[grief]"", '화나는 것[슬픔]을 참다', 'check a person in his work', '남의 일을 방해하다', 'check the rapid spread of the flu', '급속히 퍼지는 독감의 속도를 둔화시키다.', 'check quotations', '인용문을 (원문과) 대조하다', 'check the spelling of a word', '단어의 철자를 확인하다', 'check a translation against the original', '번역을 원문과 대조하다', 'check the time on the clock[＝check the clock for the time]', '시계를 보고 시간을 확인하다.', 'check a used car', '중고차의 성능을 조사하다', 'check the temperature', '체온을 재다', 'check off the names', '이름을 체크하다.', 'check a trunk through to Seattle', '트렁크를 물표를 받고 시애틀로 부치다.', 'Please check your books at the counter.', '(도서관에서) 책은 카운터에 맡기십시오', 'Small parcels checked here.', '(게시) 수화물을 맡습니다.', 'The bus checked with a jolt.', '버스는 크게 흔들리면서 정지했다.', 'The report checks (out) with the facts in every detail.', '보고서는 사실과 완전히 일치한다.', 'check (up) on a fact', '사실을 확인하다', 'check into the matter', '문제를 조사하다', 'check over the spelling in the paper', '논문의 철자를 (세밀히) 점검하다.']",-1,"['check for A에게서 B의 여부를 점검하다', 'in check 장군을 불러서', 'rain check 다음 기회, 우천 교환권, 초대의 순연, 다른 기회, 구입 예약권', 'double check 재확인, 두 번 확인하다, 재 대조하다', 'take a rain check 다음을 기약하다']","['study 연구, 조사, 공부, 검토하다, 관찰하다', 'service 서비스, 봉사, 근무', 'test 시험, 실험, 검사, 테스트, 조사하다', 'stop 멈추다, 중단하다, 막다, 그만, 정지시키다', 'control 제어하다, 통제하다, 관리하다, 조절하다, 지배하다']","['appetizer 식욕을 돋우는 것, 전채, 식욕 촉진제', 'beverage 음료, 마실 것', 'bill 법안, 빌, 지폐, 청구서, 계산서', 'busboy 버스 보이, 웨이터의 조수', 'catering 음식 조달, 음식 조달업자가 제공하는 요리, 여객기의 기내식 공급']",-1
instead,"['1. 대신에', '2. 보다', '3. 하지만', '4. 그렇기는커녕', '5. 아닌']",[],"['Give me this instead.', '그 대신 이것을 주십시오', ""Last night I went out but tonight I'm staying home instead."", '어젯밤에는 외출했으나 오늘밤은 집에 있겠다', 'If you cannot go, let him go instead.', '네가 못 가겠다면 대신 그를 보내라.']",-1,"['instead of that 대신에', 'be used instead of ~대신에 사용되다']","['instead of 대신에, 아니고, 보다는, 말고, 이외에', 'on the other hand 반면에, 한편으로는, 반대로', 'meanwhile 한편으로는, …동안, 반면', 'in contrast 반대로', 'in contrast to ~에 대한, ~와 대조되는']",-1,-1
respond,"['1. 반응하다', '2. 대응하다', '3. 답하다', '4. 응답하다', '5. 대처하다']","['동사', '기본 : respond', '과거 : responded', '과거분사 : responded', '현재분사 : responding', '3인칭단수 : responds']","['respond to the challenge', '도전에 응하다', 'They responded promptly to the survey.', '그들은 조사에 막힘없이 대답했다', 'He responded to my suggestion with a laugh[＝by laughing].', '그는 내 제안에 웃음으로 대답했다.', 'respond quickly[immediately]', '재빨리 대응하다', 'respond positively', '긍정적으로 대응하다', 'respond well', '잘 대응하다', 'respond appropriately', '적절하게 대응하다', 'respond to A', 'A에 대응하다, A에 반응하다', 'respond by doing', '…으로써 대응하다', 'respond with A', 'A로 대응하다', 'respond to a stimulus', '자극에 반응하다', 'A baby responds to loving care.', '아기는 사랑으로 돌보면 반응을 나타낸다.', '""I can\'t marry you,"" she responded sadly.', '「당신과는 결혼할 수 없어요」라고 그녀는 슬픈 듯이 대답했다.']",-1,"['respond in kind 같은 식으로 답변하다', 'respond to a request 요구에 응하다', 'respond to a questionnaire 질의서에 응답하다', 'respond to a call 요청에 응하다', 'auto respond e mail 자동응답메일']","['return 돌아오다, 복귀하다, 돌아가다, 돌려주다, 수익', 'answer 답하다, 대답, 해답, 전화를 받다, 응답하다', 'react 반응하다, 대응하다, 대처하다, 반발하다', 'reply 대답하다, 답장, 응답, 회신하다, 응하다', 'rejoin 재회하다, 복귀하다, 대답하다']",-1,"['responsible 책임이 있는, 담당의, 원인이 되는, 역할을 하다, 요인', 'response 반응, 대응, 응답, 대답, 조치', 'respondent 응하는, 응답자, 피고', 'responsive 반응하는, 대응하는, 응답하는, 민감한', 'unresponsive 감수성이 둔한, 감응이 더딘, 비동조적인']"
confirm,"['1. 확인하다', '2. 확정하다', '3. 확신하다', '4. 확실히 하다']","['동사', '기본 : confirm', '과거 : confirmed', '과거분사 : confirmed', '현재분사 : confirming', '3인칭단수 : confirms']","['confirm hotel reservations', '호텔 예약을 확인하다', 'This evidence confirms my opinion of him.', '이러한 증거가 그에 대한 내 의견을 뒷받침해 주고 있다', 'His words confirm that we are right.', '그의 말로써 우리의 정당함이 뒷받침된다', 'The accident was confirmed by the TV broadcast.', '그 사건은 실제로 일어났었다는 것이 텔레비전 방송에서 확인되었다.', 'confirm a nomination', '(관직 등의) 임명을 허가하다', 'confirm an agreement[a treaty]', '협정[조약]을 비준하다.', 'She was confirmed in her opinions by subsequent events.', '그 후의 사건들로 그녀의 의견은 한층 굳어졌다.']",-1,"[""confirm one's reservation ~의 예약 여부를 재확인하다"", 'confirm an appointment with ~와의 예약을 확인하다, ~와의 약속을 확인하다', 'confirm letter of bank deposit 은행조회서', 'confirm receipt of your resume 이력서를 받은 것을 확인하다', 'confirm a patients prescription with the doctor 환자의 처방전을 의사에게 확인하다']","['back 돌아가다, 뒤, 등, 후퇴하다', 'support 지원하다, 지지하다, 뒷받침하다, 돕다, 유지하다', 'explain 설명하다, 알려주다, 말하다, 말이 되다, 해명하다', 'sign 계약하다, 체결하다, 서명하다, 징후, 신호', 'check 확인하다, 점검하다, 검사, 견제, 체크']",-1,"['confirmed 확인된, 승인된, 굳어진', 'confirmation 확인, 확증, 입증', 'unconfirmed 미확인의, 확인되지 않은, 확증이 없는']"
chance,"['1. 기회', '2. 가능성', '3. 우연', '4. 위험', '5. 가망']","['명사', '기본 : chance', '복수 : chances']","['a lucky chance', '행운', 'a match of chance', '운에 맡기고 하는 시합(↔a match of skill)', 'by ill chance', '재수없게(※반대로 *by good chance라고는 하지 않음)', 'by (pure) chance', '(아주) 우연히', 'if happy chances serve', '운이 좋으면', 'as chance would have it', '우연히도', ""stand one's chance"", '운에 맡기다', 'leave all to chance', '모든 것을 운에 맡기다.', 'pure[sheer] chance', '완전한 우연', 'take a chance', '운에 맡기고 해보다', 'an even[a fifty-fifty] chance', '반반의 가능성', 'nine chances out of ten', '십중팔구', 'outside chance', '낮은 가능성', 'on the off chance', '요행을 바라고, 행여나 하고', 'see[have] no chance against those top players', '이런 일류 선수들이 상대라면 승산은 없다', 'stand a good[a fair] chance of doing[to do]', '(비격식) …할 가망이 충분히 있다', 'improve chances', '가능성을 높이다', 'He has a good[a little] chance of succeeding.[＝There is a good[a little] chance that he will succeed.]', '그가 성공할 가망은 충분히 있다[별로 없다](※*strong[high] chance라고는 하지 않음)', 'There is a chance of rain tomorrow.', '내일은 비가 올 예정(※신문의 일기 예보란)', ""His chances of promotion are very good.[＝The chances are very good that he'll be promoted]."", '그의 승진은 거의 확실하다(※가능성의 정도가 높은 것을 나타내는 데는 good, fair가 쓰이며, fair가 정도에 있어 좀 떨어짐)']",-1,"['have a chance 기회, 있다, 가능성', 'second chance 또 다른 기회', 'take a chance 기회를 잡다, 위험을 무릅쓰다, 모험을 하다, 시도하다, 혹시나', 'give a chance 기회를 주다', 'have no chance to ~할 가망이 전혀 없다']","['time 시간, 때, 시기, 동안, 당시', 'job 직무, 일, 직업, 일자리, 수술', 'turn 되다, 돌리다, 바꾸다, 전환하다, 켜다', 'position 위치, 입장, 자리, 지위, 자세', 'opportunity 기회, 찬스']",-1,-1
ceremony,"['1. 의식', '2. 의례', '3. 식']","['명사', '기본 : ceremony', '복수 : ceremonies']","['a coronation ceremony', '대관식', 'a marriage[a wedding] ceremony', '결혼식', 'a graduation[a funeral] ceremony', '졸업[장례]식', 'the board of ceremonies', '의전국(儀典局)', 'a master of ceremonies', '＜식전·연회 등의＞ 의전관[담당자]; (주로 미) 사회자(M.C., emcee)', 'hold[perform] a ceremony', '식을 올리다', 'The film awards ceremony was held in Paris.', '그 영화제 수상식은 파리에서 거행되었다.', 'attend a ceremony', '행사에 참석하다', 'the ceremony takes place', '식이 열리다', 'an official ceremony', '공식 행사', 'an opening[a closing] ceremony', '개회식[폐회식]', 'an awards ceremony', '시상식', 'with ceremony', '격식을 차리고, 정중히', 'with all ceremonies', '예절을 다하여, 아주 엄숙하게', 'without ceremony', '격식을 차리지 않고, 터놓고, 담담하게', 'use no ceremony[ceremonies]', '격식을 차리지 않고 하다', 'There is not much ceremony to these meetings.', '이들 모임에서는 그다지 격식을 차리지 않는다.']",-1,"['award ceremony 시상식', 'graduation ceremony 졸업식', 'tea ceremony 다도, 차 마시는 모임', 'hold a wedding ceremony 결혼식을 올리다', 'master of ceremony 진행자']","['service 서비스, 봉사, 근무', 'practice 관습, 연습하다, 실천하다, 실제, 행위', 'anniversary 주년, 기념일, 주기, 기일', 'convention 협약, 대회, 컨벤션, 회의, 관습', 'celebration 축하 행사, 축하, 기념일, 세레머니']",-1,-1
